,Q147.OtherInfoAreas,Q147.OtherInfoAreas.Reponse1.Level1,Q147.OtherInfoAreas.Reponse1.Level2,Q147.OtherInfoAreas.Reponse1.Level3,Q147.OtherInfoAreas.Reponse2.Level1,Q147.OtherInfoAreas.Reponse2.Level2,Q147.OtherInfoAreas.Reponse3.Level1,Q147.OtherInfoAreas.Reponse3.Level1,Q147.OtherInfoAreas.Reponse4.Level1,Q147.OtherInfoAreas.Reponse5.Level1,Q147.OtherInfoAreas.Reponse6.Level1,Q147.OtherInfoAreas.Reponse7.Level1,Q148.IdeasOfChanges,Q150.HelpToImplementChanges,Q150.HelpToImplementChanges.Reponse1.Level1,Q150.HelpToImplementChanges.Reponse1.Level2,Q150.HelpToImplementChanges.Reponse2.Level1,Q150.HelpToImplementChanges.Reponse2.Level2,Q150.HelpToImplementChanges.Reponse3.Level1,Q150.HelpToImplementChanges.Reponse4.Level1,Q162.MainChallengesOnFarm,Q162.MainChallengesOnFarm.Reponse1.Level1,Q162.MainChallengesOnFarm.Reponse1.Level2,Q162.MainChallengesOnFarm.Reponse1.Level3,Q162.MainChallengesOnFarm.Reponse2.Level1,Q162.MainChallengesOnFarm.Reponse2.Level2,Q162.MainChallengesOnFarm.Reponse2.Level3,Q162.MainChallengesOnFarm.Reponse3.Level1,Q162.MainChallengesOnFarm.Reponse3.Level2,Q162.MainChallengesOnFarm.Reponse3.Level3,Q162.MainChallengesOnFarm.Reponse4.Level1,Q162.MainChallengesOnFarm.Reponse4.Level2,Q163.SolutionsToAddressProblems,Q166.ShareNewFarmingPractice.Example,Q170.ChallengesOfSharingInfo,Q170.ChallengesOfSharingInfo.Reponse1.Level1,Q170.ChallengesOfSharingInfo.Reponse1.Level2,Q170.ChallengesOfSharingInfo.Reponse2.Level1,Q171.MakeSharingEasier,Q171.MakeSharingEasier.Response1.Level1,Q171.MakeSharingEasier.Response1.Level2,Q171.MakeSharingEasier.Response2.Level1,Q171.MakeSharingEasier.Response2.Level2,Q21.Income.Other,Q21.Income.Other.Reponse1.Level1,Q21.Income.Other.Reponse1.Level2,Q21.Income.Other.Reponse2.Level1,Q21.Income.Other.Reponse2.Level2,Q28.FarmHealth.Text,Q93.BankAccountChallenges,Q95.BankLoanFacilityChallenges,Q95.BankLoanFacilityChallenges.Reponse1.Level1,Q95.BankLoanFacilityChallenges.Reponse1.Level2,Q95.BankLoanFacilityChallenges.Reponse2.Level1,Q97.BankCreditChallenges,Q99.SACCOChallenges,Q99.SACCOChallenges.Reponse1.Level1,Q99.SACCOChallenges.Reponse1.Level2
96,"soil testing,best farming practices",Soil management ,Soil quality analysis,,Good agricultural practices,,,,,,,,,"Provision of funds,training,labour",Finance,,Training,,Labour,,finance to fencing my farm,Finance,,,,,,,,,,,weeding within the rows,neighbours,"Training materials and practicals, lack of demonstrations",Lack of information/resources/demonstrations,,,"Liaising with stakeholders 
Good publicity",Work with other stakeholders,,,,,,,,,Good productions from my farm,,,,,,,,,
97,"soil testing,zero grazing,poultry keeping",Soil management ,Soil quality analysis,,Livestock,Poultry,Livestock,Zero grazing,,,,,,"Training,provision of funds",Finance,,Training,,,,"price fluctuation,plucking rate",Prices,Price fluctuation,,Labour ,Costs,,,,,,,building tarecess,cattle rearing,Other farmers may not agree without demonstrations,Lack of information/resources/demonstrations,,,Transport,Funding for travel,,,,,,,,,I controlled soil erosion,,,,,,,,,
98,"best tea practices,soil management",Soil management ,,,Good agricultural practices,,,,,,,,,"Provide funds,training",Finance,,Training,,,,price for tea is not enough,Prices,Low prices,,,,,,,,,,not yet develop any,best tea practices,"Some may take time to understand
Lack of demonstrations",Lack of information/resources/demonstrations,,,"Be trained 
Incentives 
Demonstrations",Training,,Demonstration farm,,,,,,,drought and hailstones,,,,,,,,,
99,"soil erosion management,fertilizer application",Soil management ,,,Fertilizer management,,,,,,,,,"Providing funds,more training",Finance,,Training,,,,pluckers are not enough,Labour ,Shortage,,,,,,,,,,construct water checks,tea best practices,Sometimes farmers have other engagements,Time,,,"Posters in buying centers
Fare/transport",Funding for travel,,,,,,,,,good rain for tea and enough and timely fertilizer,,,,,,,,,
100,best tea practice,Good agricultural practices,,,,,,,,,,,,"Provision of funds,providing training on how to for example building terraces",Finance,,Training,,Terracing,,hailstones and drought,Weather,Drought,,Weather,Extreme,Hail,,,,,,"chemical weeding
uprooting and hand picking",best tea practice,"Failure to implement teachings due to high cost
Failure to attend training throughout, or in time",People lack necessities to implement new skills,,Poor Committment,i need training materials to train other farmers,Training materials,,,,,,,,,sireet empowerment  plucks my tea,,,,,,,,,
101,Investment on farming,Investtment,,,,,,,,,,,,"Provision of resources and capital,training",Finance,,Capital assets,,,,"frost,drought",Weather,Drought,,Weather,Extreme,Frost,,,,,,"hand weeding
chemical weeding",best farming practices,Lack of demonstrations and training materials,Lack of information/resources/demonstrations,,,visiting other farms,Visit Fellow Farmers Farms,,,,,,,,,weather changes and poor fertilizers,,,,,,,,,
102,Fertilizer size and how often to be applied,Fertilizer management,,,,,,,,,,,,,,,,,,,runoff from the nearby road affect soil in my farm,Soil mangement,Soil erosion,,,,,,,,,,not yet done any thing,"energy saving jiko
dairy farming using local feeds","Illiteracy
Lack big lands for planting",Poor Education,Literacy,,educate them on records keeping,Training,Record keeping,,,,,,,,delayed fertilizer aplication,,,,,,,,,
103,"Kilograms measurements during tea harvest
Number of Kgs from one tea tree per year",Weighing,,,Yield improvement,,,,,,,,,,,,,,,,"frost,",Weather,Extreme,Frost,,,,,,,,,plucking at tender stage to avoid being left at the buying center,soil management and shade trees,"Demonstrations 
Finances on transport/fare",Lack of information/resources/demonstrations,Costs,Travel,develop education channel for farmers to get them,Training,,,,,,,,,"wether changes , flactuation of rain distribution",,,,,,,,,
104,How to keep and maintain tea,Good agricultural practices,,,,,,,,,,,,,,,,,,,frost and drought,Weather,Extreme,Frost,Weather,Drought,,,,,,,not yet done  any,"using energy saving jiko
digging terraces","Many are busy working to make ends meet/get money
People need practicals or demonstrations 
Time",Costs,Time,Lack of information/resources/demonstrations,educate us,Training,,,,,,,,,drought and weather change,,,,,,,,,
105,"Soil 
Weather",Soil management ,,,Weather,,,,,,,,,,,,,,,,"drought,lack of access to fertilizer",Weather,Drought,,Inputs,Fertilizer,Limited,,,,,,not yet design,"every farming technique such as chemical weeding,tea nursery, water management",Time,Time,,,educate us and improve on mobility  of farmers to see the rest how they are doing,Training,,,,,,,,,weather changes and climate change,,,,,,,,,
106,"Tea 
Cows",Good agricultural practices,,,Livestock,Dairy,,,,,,,,,,,,,,,"drought,hailstones and frost",Weather,Drought,,Weather,Extreme,Frost,Weather,Extreme,Hail,,,not yet its the company to assist us get good price,Tea management to give more income,"Implementation 
Lack of funds",Costs,,People lack necessities to implement new skills,hold field days around here where we can access,Training,Farmers Day,Establish meetings,,,,,,,weather changes and delayed fertilizer,,,,,,,,,
107,"Seeds knowledge to know which are good 
About agrochemicals
Care of crops - general",Farm management,,,Seeds,,Agrochemicals,,,,,,,,,,,,,,"drought,source of fertilzer",Weather,Drought,,Inputs,Fertilizer,Limited,,,,,,not yet done anything,Good farming practises,Negligence,Negligence,,,have community participation on tea production field days,Training,Farmers Day,,,,,,,,weather and fertilizer,,,,,,,,,
108,"Tea care and management 
Cattle rearing 
Poultry",Farm management,,,Livestock,Dairy,Livestock,Poultry,,,,,,,,,,,,,"drought,hailtones",Weather,Drought,,Weather,Extreme,Hail,,,,,,"Made terraces, mulching","Tea farm care, weeding and record keeping","Method of relaying information 
Lack of logistics",Lack of information/resources/demonstrations,,Communication,construct passable roads,Improve roads,,,,,,,,,good rain and lack of pests,,,,,,,,,
109,Zero grazing goats,Livestock,Zero grazing,,Livestock,Goats,,,,,,,,,,,,,,,"drought,lack of fertilizer",Weather,Drought,,Inputs,Fertilizer,Limited,,,,,,Weeding using a jembe,"Soil erosion 
Pruning in time",Lack of coordination,Logistics,,,educate us and make passable roads,Training,,Improve roads,,,,,,,weather changes and much cold,,,,,,,,,
110,Short-term crops and its productions,Short-term crops,,,,,,,,,,,,,,,,,,,"weeds
animal feeds
finance
fluctuating prices
labour turnover",Weeds,,,Prices,Price fluctuation,,Labour ,Shortage,,Finance,,Uprooting and digging out,"poultry farming,beekeeping",COMMUNICATION BREAKDOWN,Communication,,,creation of time to share,Time,,,,,,,,,weather harshness,,,,,,,,,
111,Time intervals to pluck tea again,Plucking,,,,,,,,,,,,,,,,,,,"weeds
soil erosion
price fluctuation of tea",Weeds,,,Soil mangement,Soil erosion,,Prices,Price fluctuation,,,,"Uprooting, weeding",potatoes farming,LACK OF WILL POWER ON THE PART OF THE FARMERS,Poor Committment,,,farmers day be created to make it easier for farmers to interract,Communication,Farmers Day,,,,,,,,"drought ,delay of fertiliser",,,,,,,,,
112,Marketing,Marketing,,,,,,,,,,,,,,,,,,,"weeds
soil erosion
food insecurity",Weeds,,,Soil mangement,Soil erosion,,Lack of food,,,,,"Using chemicals sprays 
Employ labour to weed",how to weed,MOST OF THE FARMERS WOULD ONLY LIKE TO HEAR THE INFORMATION FROM AN EXPERT,Prefer training from experts/extension staff,,Fellow farmers do not accept training,farmers be trained to accept information and pratice,Sensitization,,,,,,,,,application of fertiliser and plucking management,,,,,,,,,
113,Poultry keeping,Livestock,Poultry,,,,,,,,,,,,,,,,,,"weeds
hailstone
drought",Weeds,,,Weather,Extreme,Hail,Weather,Drought,,,,"Spraying with chemicals 
Weeding",livestock production,"SOME FARMERS CLAIM TO BE BUSY
LACK OF WILL POWER ON THE PART OF THE FARMERS",Poor Committment,,Time,educate our farmers and other young children,Training,,,,,,,,,climate changes and heavy rainfall,,,,,,,,,
114,"NUTRIENT CONTENT OF MY SOIL,BIOGAS",Soil management ,Soil quality analysis,,,,,,,,,,,,,,,,,,"Hailstone, drought and frost",Weather,Extreme,Frost,Weather,Extreme,Hail,Weather,Drought,,,,"Buy phosphates 
Spray",production of more milk,"The farmers do not accept what you telling,they want a trained personnel
Lack of cooperation from the farmers",Fellow farmers do not accept training,,Prefer training from experts/extension staff,educate our young farmers,Training,Youth,,,,,,,,fertiliser application last year was low,,,,,,,,,
115,IMPROVED LIVESTOCK KEEPING,Livestock,,,,,,,,,,,,,,,,,,,"Drought, hailstorm",Weather,Extreme,Hail,Weather,Drought,,,,,,,Spraying weeds,nothing,Most of the farmers are not willing to listen,Fellow farmers do not accept training,,,improve on farmers visits,Training,,,,,,,,,weather changes and poor pricing,,,,,,,,,
116,"HOW MUCH OF FERTILIZER DOES ONE NEED TO PUT IN A TEA FARM
WHICH ONE IS BETTER,WEEDING OR SPRAYING A TEA FARM
WHAT CAN ONE DO TO INCREASE HER PRODUCE IN A TEA FARM",Fertilizer management,,,Yield improvement,,,,,,,,,,,,,,,,"drought,workers who work in my farm are few",Weather,Drought,,Labour ,Shortage,,,,,,,"Spraying 
Weeding 
Terraces",planting in time,"The farmer might not take whatever you saying seriously
Lack of implementation on the part of the farmer after being trained
Lack of time",Fellow farmers do not accept training,Time,People lack necessities to implement new skills,develop a system of educating farmers through sheds,Training,,,,,,,,,drought last year was high,,,,,,,,,
117,HOW MUCH FERTILIZER TO APPLY IN A ONE ACRE FARM,Fertilizer management,,,,,,,,,,,,,,,,,,,i need soil  to be tested so that  i can get more yield,Soil mangement,Fertility,,,,,,,,,,"Price 
Fertilizer",weeding,"Neglegence from other farmers
Some farmers fail to come to group meetings",Negligence,,Poor Committment,have the formal meetings  chaired by the tea production experts,Training,,Experts,,,,,,,we had pruned last year,,,,,,,,,
118,"Kitchen gardening
Poultry keeping
Tea farming practices that increase yields",Livestock,Poultry,,Yield improvement,,Kitchen Gardens,,,,,,,,,,,,,,"weather changes
inadequate fertilizer 
weeding",Weeds,,,Weather,Changing,,Inputs,Fertilizer,Limited,,,"Weeding 
Uprooting",plucking of quality tea,Lack of enough time,Time,,,have a education on farmers,Training,,,,,,,,,tea has matured,,,,,,,,,
119,Prevention of soil erosion between tea bushes,Soil management ,,,,,,,,,,,,,,,,,,,weather harshness that are accompanied by hailstones,Weather,Extreme,Hail,,,,,,,,,"Spraying 
Mulching",early planting,"People need demonstrations
Failure to implement trainings",Lack of information/resources/demonstrations,,People lack necessities to implement new skills,may be have visitors to tell us more,Training,,Experts,,,,,,,lack of fertilizer,,,,,,,,,
120,"What other crop can be grown in my farm
Farm planning",Crop management,,,Farm planning,,,,,,,,,,,,,,,,weather problem,Weather,,,,,,,,,,,"Use of manure as fertilizer,mulching",any thing like plucking round,Some of the farmers are not willing to listen to the new idea,Fellow farmers do not accept training,,,have all the members educated on tea,Training,,,,,,,,,"enough fertilizer,good  weather",,,,,,,,,
121,Dairy farming and poultry farming,Livestock,Poultry,,Livestock,Dairy,,,,,,,,,,,,,,,I am not in a position to do them alone,Lack of support ,,,,,,,,,,,VISITING OTHER FARMERS' FARMS,farming practices which improve output,"Lack of enough time,lack of coordination,Most of the farmers prefer to hear from an expert",Time,,Prefer training from experts/extension staff,regular visitation by managers,Increased support from cooperative,,,,,,,,,"drought,frost",,,,,,,,,
122,"General farming on tea,poultry keeping,livestock keeping,biogas,potato planting,fishery",Good agricultural practices,,,Livestock,Poultry,Livestock,,Biogas,Potatos,,,,,,,,,,,no main challenge,None,,,,,,,,,,,SPRAYING THE CROPS AGAINST PESTS AND DISEASES,"planting shade trees
pruning
how to keep farm cleen",Most of the farmers are not willing to listen to the new idea and implement,Fellow farmers do not accept training,,,have education by field officers,Training,,Increased support from cooperative,,,,,,,Good produce in tea,,,,,,,,,
123,"What kind of tea can do well in my farm,the soil needs to be measured to know what can do best.
Which breed is good in cattle keeping.",,,,,,,,,,,,,,,,,,,,no training,Training ,,,,,,,,,,,BUILT TERRACES,"how to keep your farm clean
record keeping",No challenges,No Challenges,,,i need to be trained,Training,,,,,,,,,Because I pruned and low rainfall,,,,,,,,,
124,"Crop rotation and after how long,how fertile is the soil,tree planting,when can you grow ovacado",Crop management,,,Soil management ,,Trees,,Advocados,,,,,,,,,,,,weather changes and heavy rainfall,Weather,Changing,,Weather,Rain,Heavy,,,,,,SALE OF OTHER THINGS SUCH AS CATTLE TO RAISE FINANCES,keeping records,"Some farmers fail to turn up for the meetings,some farmers do not keep time when there are meetings",Poor Committment,,Time,a baraza/meeting to be called for all farmers to come,Establish meetings,,,,,,,,,Good produce,,,,,,,,,
125,"How to get more produce from a small farm,dairy farming,poultry keeping",Yield improvement,,,Livestock,Poultry,Livestock,Dairy,,,,,,,,,,,,,weather changes and payement is low compared to production,Training ,,,,,,,,,,,"Composting
Building terraces to prevent soil erosion
Weeding
Applying fertilizer",plucking table maintainable level,"Some farmers do not come to meetings in time,some do not turn up for the meetings,farmers need trained officers to train them",Poor Committment,,Prefer training from experts/extension staff,Given fiances and training materials,Funding,,Training materials,,,,,,,No more changes,,,,,,,,,
126,"How much fertilizer to apply,Green house farming,Biogas",Fertilizer management,,,Greenhouses,,Biogas,,,,,,,,,,,,,,"price fluctuation
fertilizer
pruning
plucking standards
weeds",Weather,Changing,,Prices,Low prices,,,,,,,"Pruning
Spraying weeds
Building terraces
Composting",plucking tea table and making taraces,"Time,Most of the farmers would like to hear from an expert,Farmers need demonstrations",Time,,Prefer training from experts/extension staff,Training materials and implementation of action plans,Training materials,,,,,,,,,Plants growth were good last year,,,,,,,,,
127,"Dairy keeping,poultry keeping",Livestock,Dairy,,Livestock,Poultry,,,,,,,,,,,,,,,"weeds
low yields in my farm",Weeds,,,Crops,Low productivity,,,,,,,"Built terraces
Spraying
Planted trees along river banks",planting of shed trees,"Most of the farmers need demonstrations when you teaching them,time,",Time,,Lack of information/resources/demonstrations/demonstrations,"Training materials
Finances
Frequent visits to farms",Training materials,,Funding,,,,,,,Fertilizers were of poor quality,,,,,,,,,
128,"Poultry keeping,dairy keeping,planting of other crops that bring food",Livestock,Dairy,,Livestock,Poultry,Food crops,,,,,,,,,,,,,,"weeds
cost of fertilizer
finance to improve output",Weeds,,,Inputs,Fertilizer,Costs,Finance,,,,,"Irrigation during dry seasons
Spraying to control diseases and weeds
Weeding
Applying fertilizer",shed trees,"Most of the farmers want to hear from an expert,time",Prefer training from experts/extension staff,,Time,"Encourage and give me the training facilities 
Logistics",Training materials,,,,,,,,,Bad phosphates/fertilizers and drought,,,,,,,,,
129,"Soil to be measured to know its composition and what else can be planted in it,The recommended depth that one needs to dig when planting coffee.",Soil management ,Soil quality analysis,,Coffee,,,,,,,,,,,,,,,,"weather changes and heavy rainfall
poor price of tea
high plucking price in nearby surrounding estates
high price of fertilisers hinders maxima production of tea leaves",Weather,Changing,,Prices,Low prices,,Labour ,Costs,,,,Stopped taking loans from banks,any thing like pruning,Some farmers fail to come to the meetings,Poor Committment,,,"Offer training materials 
Finances",Training materials,,Funding,,,,,,,The types of phosphates given were good,,,,,,,,,
130,"Soil to be measured to know how much fertilizer need to be applied,how to reduce the cost of production in tea,tea research on how to improve market",Soil management ,Soil quality analysis,,Fertilizer management,,Marketing,,,,,,,,,,,,,,"long drought 
sometimes heavy rainfall and poor quality of tea
high plucking prices in the nearby estates
though plucking quality that renders the tea bushes to waste",Weather,Drought,,Labour ,Costs,,Weather,Rain,Heavy,,,"Spraying against pests and diseases
Weeding",teracing,Time consuming especially when not all the farmers attend the meetings,Time,,Poor Committment,Offering financial support,Funding,,,,,,,,,Maize are doing well compared to last year,,,,,,,,,
131,"How to plant purple tea,Farm planning,how to dress when spraying and handling of pesticides",Farm mangement,,,Purple tea,,Pest management,,,,,,,,,,,,,,"poor tea price 
weather changes",Weather,Changing,,Prices,Low prices,,,,,,,Pruning when there is prolonged drought,other farmers,"Not all the farmers attend the group meetings,lack of implementation on the part of the farmers",Poor Committment,,People lack necessities to implement new skills,"Training materials 
Demonstration farms 
Money",Training materials,Funding,Demonstration Farm,,,,,,,Erosion may increase due to El nino this year,,,,,,,,,
132,"Tea farming,Poultry keeping,dairy farming",Good agricultural practices,,,Livestock,Dairy,Livestock,Poultry,,,,,,,,,,,,,"high cost of fertiliser
fluctuation of tea prices
weather changes
low tea buying prices it should be given in full amount other than bonus
constrains of Sacco's less money disbursements
spoiling of tea leaves",Inputs,Fertilizer,Costs,Prices,Price fluctuation,,Weather,Changing,,Prices,Low prices,Irrigating during dry seasons,plucking table,Some farmers do not implement the teaching,People lack necessities to implement new skills,,,"Fare 
Training materials",Training materials,,Funding,,,,,,,No much change,,,,,,,,,
133,"More about tea farming for example pruning,leveling,shade trees and its importance,dairy farming,poultry keeping,banana planting",Pruning,,,Livestock,Poultry,Livestock,Dairy,Trees,Bananas,,,,,,,,,,,"weather changes
fertiliser prices 
persistent drought",Weather,Changing,,Inputs,Fertilizer,Costs,Weather,Drought,,,,"Tree planting to prevent frost,planting bananas to act as food especially during prolonged drought",tea best farming practices,"Lack of time for training,most of the farmers are too busy,lack of implementation on the part of the farmer",Time,,People lack necessities to implement new skills,"Finances for training
Transport/fare
Getting workers to substitute my duties while going to train/share info",Per Diem,,Funding for travel,,,,,,,"More rain,more fertilizer",,,,,,,,,
134,"Tea farming,which kind of herbicide is good for spraying against weeds and how to spray,dairy farming,poultry keeping",Pest management,,,Livestock,Dairy,Livestock,Poultry,,,,,,,,,,,,,we don't know how they are done,Knowledge,Good agricultural practices,,,,,,,,,,"Spraying against pests,tree planting in tea farms",biogas,low turn up during meetings,Poor Committment,,,Demonstration,Demonstration farm,,,,,,,,,HEAVY RAINS,,,,,,,,,
135,"How to increase food production,dairy farming,poultry keeping",Food crops,,,Livestock,Dairy,Livestock,Poultry,,,,,,,,,,,,,"weather changes
low prices of tea markets",Weather,Changing,,Prices,Low prices,,,,,,,Not yet tried anything,Farming,"Some farmers may not attend the group meetings,Some may not arrive to meetings on time",Poor Committment,,,"Means of transport 
Materials",Funding for travel,,Training material,,,,,,,"MORE FINANCES, IMPROVED CLIMATE",,,,,,,,,
136,"Which kind of herbicide for spraying against weeds and how much need to be applied,labourers on tea farm to be trained on how to pluck,Which other kind of fertilizer apart from npk can boost tea",Pest management,,,Fertilizer management,,Plucking,,Training labourers,,,,,,,,,,,,weather changes and high prices of fertilisers,Weather,Changing,,Inputs,Fertilizer,Costs,,,,,,"Built terraces to prevent soil erosion during heavy rains,Spraying against pests and diseases,use of compost manure instead of commercial fertilizers",Farming and tea management,Not all the farmers attend the meetings,Poor Committment,,,"Improved communication between farmers,cooperation from the farmers",Communication platform,,Increased support from cooperative,,,,,,,"SPRAYING AND WEEDING,MORE FERTILIZER",,,,,,,,,
137,"Tea farming,dairy farming,vegetable farming",Good agricultural practices,,,Livestock,Dairy,Vegetables,,,,,,,,,,,,,,"drought
hailstones",Weather,Drought,,Weather,Extreme,Hail,,,,,,Spraying against pests and diseases,"Tea and soil management
Weeds","Sometimes the time is limited,Some farmers after being trained need the seeds and they are not readily available,Lack of training materials such as green houses",Time,,Lack of information/resources/demonstrations/demonstrations,ORGANIZING MEETINGS TO INFORM FARMERS,Establish meetings,,,,,,,,,CHANGE OF WEATHER,,,,,,,,,
138,"good farming methods
soil testing",Soil management ,Soil quality analysis,,Good agricultural practices,,,,,,,,,,,,,,,,"weather changes
price fuctuation",Weather,Changing,,Prices,Price fluctuation,,,,,,,"Pulling out of weeds and weeding in tea farms instead of spraying them because if he sprays,the chemicals bring other pests and it affects the soil,planting shade trees in tea farms,building terraces,planting trees around the river,composting,pruning","Tea maintenance/care and management
Erosion",,,,,USING THOSE WHO ARE WILLING TO ENCOURAGE OTHER FARMERS,Committed farmers,,,,,,,,,"More compost fertilizer,planting in time",,,,,,,,,
139,"Poultry keeping,dairy farming,passion fruit farming",Livestock,Dairy,,Livestock,Poultry,Passion fruit,,,,,,,,,,,,,,"drought,pest and diseases",Weather,Drought,,Pests,,,,,,,,Doing the work himself instead of hiring someone because it is expensive,How to get high yields,,,,,TRAINING,Training,,,,,,,,,"Hailstorms,cold weather",,,,,,,,,
140,"Soil testing to know what can be done to increase production,what can be done to increase production when the crop has been affected by for example frost,hailstorms,Biogas,How terraces need to be built in a farm",Soil management ,Soil quality analysis,,Yield improvement,,Frost management,,Biogas,Terracing,,,,,,,,,,,"fertilizer, drought",Weather,Drought,,Inputs,Fertilizer,,,,,,,Irrigation,Tea management,,,,,"ORGANISING MEETINGS WITH FARMERS
CREATING AWARENESS THROUGH ADVERTISING",Establish meetings,,Sensitization,,,,,,,Same production this year and last year,,,,,,,,,
141,"How to increase production in tea farming,how to build terraces in a farm,How much fertilizer need to be applied in a tea farm,vegetable farming,poultry keeping,dairy farming,what is the recommended depth for bananas",Livestock,Poultry,,Livestock,Dairy,Yield improvement,,Fertilizer management,Vegetables,Bananas,Terracing,,,,,,,,,"drought,hailstones",Weather,Drought,,Weather,Extreme,Hail,,,,,,He has tried to do some of the work himself because he sometimes doesn't have money to hire labour,Vegetable planting/growing,,,,,"Prior communication with the farmers so that they may get prepared
More training",Communication,"Work with a group, make a shared plan",Training,,,,,,,"Improved seeds,good fertilizer",,,,,,,,,
142,"Value addition in what he produces in his farm,poultry management and building of poultry house,making of cattle feeds,application of manure instead of soluble fertilizer in tea farms,bee keeping,information on use of chemicals in farms and how to handle them,proper feed storage for cattle",Livestock,Poultry,,Cattle feed,,Compost,,Fertilizer management,Bee keeping,Crop storage,,,,,,,,,,"drought,lack of fertilizer,soil erosion,",Weather,Drought,,Inputs,Fertilizer,,Soil mangement,Soil erosion,,,,Tree planting for water management and provision of fuel,"Tea care and management 
Supply on fertilizers 
What they will ask to know",,,,,Organising visits to a demonstration farm for farmers,Demonstration Farm,,Visit Fellow Farmers Farms,,,,,,,Drought,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,none,None,,,,,,,,,,,"Spraying against weeds,pruning","Cattle feeding 
Poultry 
Planting short term crops",,,,,"Organise group meetings with farmers to train them
Organising farm visits for farmers","Work with a group, make a shared plan",,,,,,,,,"Less rain,warm weather",,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,"drought,price flactuation",Weather,Drought,,Prices,Price fluctuation,,,,,,,"Borrowing loans,pruning before expected droughts",Tea,,,,,Farmers to be motivated,Committed farmers,,,,,,,,,Bad fertilizer,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,"frost,hailstones,",Weather,Extreme,Hail,Weather,Extreme,Frost,,,,,,weeding using both chemicals and manually using jembe and slasher,"Taking care of land 
Soil erosion",,,,,Organising field days for farmers,Farmers Day,,,,,,,,,"Improved seeds,good weather",,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,Soil erosion,Soil mangement,Soil erosion,,,,,,,,,,"Building terraces,tree planting near water sources",Expenditures,,,,,"Training materials
Logistics",Training materials,,Logistics,,,,,,,Prolonged drought,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,Weeds that do not die after spraying,Weeds,,,,,,,,,,,Dairy farming to supplement income,New farming practices that improve yields,,,,,"Visit by extension officers to train farmers
Providing farmers with finances",Funding,,Increased support from cooperative,,,,,,,"Drought,frost",,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,"Weeds 
Weather",Weeds,,,Weather,,,,,,,,"Spraying against weeds,weeding",SOIL CONSERVATION,,,,,"Providing more funds for the farmers to encourage them implement the project,Organising trainings for the farmers",Funding,,Training,,,,,,,Cold weather,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,Hailstone and frost,Weather,Extreme,Hail,Weather,Extreme,Frost,,,,,,"Planting cattle feeds such fodder trees,Nappier grass instead of buying the cattle feeds",HOW TO GET MORE FINANCES SUCH AS FORMING A GROUP,,,,,"Inviting trained personnel to come train the farmers,organising field days for farmers",Training,Farmers Day,,,,,,,,"Lack of enough fertilizer,prolonged drought,frost",,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,"Weeds 
Pests and diseases",Weeds,,,Pests,,,,,,,,,A NEW FARMING THAT IS COST EFFECTIVE AND INCREASES YIELD,,,,,Extension officers to train farmers,Increased support from cooperative,,Training,,,,,,,"No maize disease this year,good fertilizer for tea",,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,"Weeds, price fluctuations and poor fertility",Weeds,,,Prices,Price fluctuation,,Soil mangement,Fertility,,,,,NEW FARMING PRACTICE THAT IMPROVES YIELDS,,,,,Cooperatives to organise meetings with farmers,,Increased support from cooperative,,,,,,,,"Improved seeds for maize,good weather",,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,"Weeds 
Price 
Pluckers",Weeds,,,Prices,,,Labour ,Shortage,,,,,Teaching them in my farm or in group meetings,,,,,Inviting trained officers to train farmers,,Training,"
",Increased support from cooperative,,,,,,"warm weather,fertilizer",,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,"Weeds 
Erosion",Weeds,,,Soil mangement,Soil erosion,,,,,,,,Organising meetings with the farmers to teach them a new practise,,,,,"Organising visits to demonstration farms for the farmers,Inviting trained officers to farmer group meetings to train them",Demonstration Farm ,,,Increased support from cooperative,,,,,,"Improved seeds,warm weather",,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,"Weeds 
Prices",Weeds,,,Prices,,,,,,,,,Training the fellow farmers in their farms,,,,,"More trainers,capacity building for the farmers",Training,,,,,,,,,Drought this year,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,"Weeds 
Costs of fertilizer 
Bad weather eg hailstones",Weeds,,,Inputs,Fertilizer,,Weather,Extreme,Hail,,,,"How to pluck tea
How to prune tea",,,,,Providing funds and training for the farmer to enable him develop something such as a green house which will help in making it easy for the farmer when teaching others (demonstration farm),Funding,,Training,,,,,,,"Prolonged drought,cold season,hailstorms",,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,"Lack of finances,Weather changes",Finance,,,Weather,Changing,,,,,,,,Application of fertilizers in a tea farm,,,,,Inviting trained personnel to train farmers,Training,,Increased support from cooperative,,,,,,,Prolonged drought at the beginning of the year,,,,,,,,,
